image_path,caption
dataset/data/coco/val2014/COCO_val2014_000000071988.jpg,A man in a wheelchair and another sitting on a bench that is overlooking the water.
dataset/data/coco/val2014/COCO_val2014_000000193622.jpg,A man sits with a traditionally decorated cow
dataset/data/coco/val2014/COCO_val2014_000000459912.jpg,Rows of motor bikes and helmets in a city
dataset/data/coco/val2014/COCO_val2014_000000548498.jpg,A cute kitten is sitting in a dish on a table.
dataset/data/coco/val2014/COCO_val2014_000000315702.jpg,A messy bathroom countertop perched atop black cabinetry.
dataset/data/coco/val2014/COCO_val2014_000000052087.jpg,A man getting a drink from a water fountain that is a toilet.
dataset/data/coco/val2014/COCO_val2014_000000189634.jpg,An open food container box with four unknown food items.
dataset/data/coco/val2014/COCO_val2014_000000472598.jpg,An old teal colored car parked on the street.
dataset/data/coco/val2014/COCO_val2014_000000182417.jpg,A beautiful dessert waiting to be shared by two people
dataset/data/coco/val2014/COCO_val2014_000000517069.jpg,A woman sitting on a bench and a woman standing waiting for the bus.
dataset/data/coco/val2014/COCO_val2014_000000119964.jpg,A person holding a skateboard overlooks a dead field of crops.
dataset/data/coco/val2014/COCO_val2014_000000126657.jpg,A group of motorcycle riders driving past buildings.
dataset/data/coco/val2014/COCO_val2014_000000230610.jpg,A bathroom with a sink and shower curtain with a map print.
dataset/data/coco/val2014/COCO_val2014_000000226419.jpg,A random plane in the sky flying alone
dataset/data/coco/val2014/COCO_val2014_000000226419.jpg,An airplane flying high in the blue sky. 
dataset/data/coco/val2014/COCO_val2014_000000517069.jpg,A woman sitting on a bench in the middle of the city
dataset/data/coco/val2014/COCO_val2014_000000218026.jpg,A brown and black horse in the middle of the city eating grass.
dataset/data/coco/val2014/COCO_val2014_000000352538.jpg,A brown purse is sitting on a green bench.
dataset/data/coco/val2014/COCO_val2014_000000331352.jpg,This is an advanced toilet with a sink and control panel.
dataset/data/coco/val2014/COCO_val2014_000000202913.jpg,Half of a white cake with coconuts on top.
dataset/data/coco/val2014/COCO_val2014_000000202658.jpg,An old toilet with a hello kitty cover top. 
dataset/data/coco/val2014/COCO_val2014_000000079472.jpg,Office space with office equipment on desk top.
dataset/data/coco/val2014/COCO_val2014_000000346071.jpg,Two husky's hanging out of the car windows.
dataset/data/coco/val2014/COCO_val2014_000000006672.jpg,The back door with a window in the kitchen.
dataset/data/coco/val2014/COCO_val2014_000000419074.jpg,Jet liner flying off into the distance on an overcast day
dataset/data/coco/val2014/COCO_val2014_000000046378.jpg,A cat eating a bird it has caught.
dataset/data/coco/val2014/COCO_val2014_000000382406.jpg,A woman is walking a dog in the city.
dataset/data/coco/val2014/COCO_val2014_000000016977.jpg,Cars try to maneuver into parking spaces along a densely packed city street. 
dataset/data/coco/val2014/COCO_val2014_000000346071.jpg,Dogs stick their heads out of car windows
dataset/data/coco/val2014/COCO_val2014_000000119964.jpg,A person sits on a patch of grass observing the scenery.
dataset/data/coco/val2014/COCO_val2014_000000175948.jpg,A tiny bathroom with only a toilet and a shelf.
dataset/data/coco/val2014/COCO_val2014_000000573223.jpg,A little girl in a public bathroom for kids.
dataset/data/coco/val2014/COCO_val2014_000000331352.jpg,A close-up picture of a toilet with a fountain.
dataset/data/coco/val2014/COCO_val2014_000000052087.jpg,A boy drinking water from a toilet water fountain.
dataset/data/coco/val2014/COCO_val2014_000000402514.jpg,A picture of a man playing a violin in a kitchen.
dataset/data/coco/val2014/COCO_val2014_000000093437.jpg,A shot of an elderly man inside a kitchen.
dataset/data/coco/val2014/COCO_val2014_000000230610.jpg,A small and crowded bathroom with little furnishing 
dataset/data/coco/val2014/COCO_val2014_000000407286.jpg,A trio of dogs sitting in their owner's lap in a red convertible.
dataset/data/coco/val2014/COCO_val2014_000000172330.jpg,A cat in between two cars in a parking lot.
dataset/data/coco/val2014/COCO_val2014_000000082673.jpg,A small car is parked in front of a scooter
dataset/data/coco/val2014/COCO_val2014_000000517069.jpg,A woman sitting on a bench and a woman standing behind the bench at a bus stop
dataset/data/coco/val2014/COCO_val2014_000000382406.jpg,A woman and her dog walking down a sidewalk next to a fence with some flowers. 
dataset/data/coco/val2014/COCO_val2014_000000141172.jpg,A door with a sticker of a cat door on it
dataset/data/coco/val2014/COCO_val2014_000000472678.jpg,An office cubicle with multiple computers in it
dataset/data/coco/val2014/COCO_val2014_000000104326.jpg,A pinewood and green modern themed kitchen area.
dataset/data/coco/val2014/COCO_val2014_000000402514.jpg,A man is playing violin in his kitchen
dataset/data/coco/val2014/COCO_val2014_000000093437.jpg,An old man is wearing an odd hat
dataset/data/coco/val2014/COCO_val2014_000000581177.jpg,A kitchen is shown with wooden cabinets and a wooden celling.
dataset/data/coco/val2014/COCO_val2014_000000267802.jpg,A group of people riding mopeds in a busy street. 
dataset/data/coco/val2014/COCO_val2014_000000208408.jpg,A person walking in the rain on the sidewalk. 
dataset/data/coco/val2014/COCO_val2014_000000581177.jpg,A recently remodeled kitchen with marble and wooden furnishings.
dataset/data/coco/val2014/COCO_val2014_000000314251.jpg,A parade of motorcycles is going through a group of tall trees.
dataset/data/coco/val2014/COCO_val2014_000000560591.jpg,a modern flush toilet in a bathroom with tile. 
dataset/data/coco/val2014/COCO_val2014_000000189634.jpg,A small box filled with four green vegetables. 
dataset/data/coco/val2014/COCO_val2014_000000472598.jpg,A classic car sitting beside the road with a surfboard on top. 
dataset/data/coco/val2014/COCO_val2014_000000507362.jpg,Fog is in the air at an intersection with several traffic lights.
dataset/data/coco/val2014/COCO_val2014_000000407286.jpg,Three little dogs looking out a car window while sitting on a woman's lap. 
dataset/data/coco/val2014/COCO_val2014_000000052087.jpg,A young man drinking from a water fountain in the shape of a toilet.
dataset/data/coco/val2014/COCO_val2014_000000057429.jpg,An airplane with its landing wheels out landing. 
dataset/data/coco/val2014/COCO_val2014_000000153184.jpg,Little birds sitting on the shoulder of a giraffe. 
dataset/data/coco/val2014/COCO_val2014_000000382406.jpg,A woman walking her dog on the sidewalk.
dataset/data/coco/val2014/COCO_val2014_000000571970.jpg,a man with a bike at a marina
dataset/data/coco/val2014/COCO_val2014_000000153184.jpg,The top of a giraffe's head has birds on it.
dataset/data/coco/val2014/COCO_val2014_000000057429.jpg,A plane that is taking off at an airport
dataset/data/coco/val2014/COCO_val2014_000000133680.jpg,A man is sitting on a bench next to a bike.
dataset/data/coco/val2014/COCO_val2014_000000139011.jpg,People are waiting for the bus near a bus stop.
dataset/data/coco/val2014/COCO_val2014_000000006672.jpg,The kitchen has a white door with a window.
dataset/data/coco/val2014/COCO_val2014_000000223747.jpg,a man sleeping with his cat next to him
dataset/data/coco/val2014/COCO_val2014_000000104326.jpg,A kitchen and dining room area with a large window.
dataset/data/coco/val2014/COCO_val2014_000000505386.jpg,four urinals in a public restroom with a window
dataset/data/coco/val2014/COCO_val2014_000000106140.jpg,An red and white airplane is in the cloudy sky.
dataset/data/coco/val2014/COCO_val2014_000000285421.jpg,A black cat drinking water from a toilet
dataset/data/coco/val2014/COCO_val2014_000000581177.jpg,Well kept kitchen with marble counter tops and stainless steel fridge
dataset/data/coco/val2014/COCO_val2014_000000079472.jpg,A hope office setup of computers and printers.
dataset/data/coco/val2014/COCO_val2014_000000208408.jpg,A person walking through the rain with an umbrella.
dataset/data/coco/val2014/COCO_val2014_000000107990.jpg,A small child climbs atop a large motorcycle
dataset/data/coco/val2014/COCO_val2014_000000527510.jpg,A large U.S Air Force plain sits on an asphalt ramp.
dataset/data/coco/val2014/COCO_val2014_000000005247.jpg,A black and white photo of an older man skiing.
dataset/data/coco/val2014/COCO_val2014_000000505386.jpg,A bathroom with four urinals on the wall.
dataset/data/coco/val2014/COCO_val2014_000000301837.jpg,"A picture of a modern looking kitchen area
"
dataset/data/coco/val2014/COCO_val2014_000000079472.jpg,"a home office with laptop, printer, scanner, and extra monitor"
dataset/data/coco/val2014/COCO_val2014_000000005247.jpg,Two people on the snow for cross country skiing.
dataset/data/coco/val2014/COCO_val2014_000000107960.jpg,Riding a motorcycle down a street that has no one else on it.
dataset/data/coco/val2014/COCO_val2014_000000162113.jpg,"A kitchen stove, sink, and counter with stuff on it."
dataset/data/coco/val2014/COCO_val2014_000000133680.jpg,A man is sitting on a bench next to a bicycle.
dataset/data/coco/val2014/COCO_val2014_000000139011.jpg,A crowd of people are waiting to get on a red bus.
dataset/data/coco/val2014/COCO_val2014_000000109976.jpg,An all white kitchen with an electric stovetop. 
dataset/data/coco/val2014/COCO_val2014_000000285421.jpg,A cat drinking water from a toilet in a bathroom.
dataset/data/coco/val2014/COCO_val2014_000000507362.jpg,An intersection during a cold and foggy night.
dataset/data/coco/val2014/COCO_val2014_000000190236.jpg,an office with desk computer and chair and laptop.
dataset/data/coco/val2014/COCO_val2014_000000208408.jpg,A person walking in the rain while holding an umbrella.
dataset/data/coco/val2014/COCO_val2014_000000407286.jpg,A woman driver has three dogs in the seat with her.
dataset/data/coco/val2014/COCO_val2014_000000057429.jpg,A man takes a picture of an airplane taking off.
dataset/data/coco/val2014/COCO_val2014_000000012667.jpg,The telephone has a banana where the receiver should be.
dataset/data/coco/val2014/COCO_val2014_000000410627.jpg,The young man is stirring his pot of food with a wooden spoon.
dataset/data/coco/val2014/COCO_val2014_000000331352.jpg,Off white toilet with a faucet and controls. 
dataset/data/coco/val2014/COCO_val2014_000000232223.jpg,A fighter jet is flying at a fast speed.
dataset/data/coco/val2014/COCO_val2014_000000022793.jpg,A public bathroom with a bunch of urinals.
dataset/data/coco/val2014/COCO_val2014_000000436456.jpg,The airplane is on the runway with two young men standing by.
dataset/data/coco/val2014/COCO_val2014_000000581177.jpg,A beautiful new kitchen with natural wood cabinets.
dataset/data/coco/val2014/COCO_val2014_000000368402.jpg,The woman in the kitchen is holding a huge pan.
dataset/data/coco/val2014/COCO_val2014_000000107990.jpg,A young boy riding a motorcycle next to a silver car.
dataset/data/coco/val2014/COCO_val2014_000000109976.jpg,A white stove sits between two small counter tops.
dataset/data/coco/val2014/COCO_val2014_000000135161.jpg,A toilet sits next to a window and in front of a shower.
dataset/data/coco/val2014/COCO_val2014_000000382406.jpg,A woman walks her dog along a city street.
dataset/data/coco/val2014/COCO_val2014_000000107990.jpg,A little baby is sitting on a huge motorcycle.
dataset/data/coco/val2014/COCO_val2014_000000505386.jpg,An old bathroom with a row of urinals.
dataset/data/coco/val2014/COCO_val2014_000000581177.jpg,"A neat, wood filled kitchen is photographed as if for a real estate ad."
dataset/data/coco/val2014/COCO_val2014_000000517069.jpg,A woman and another woman waiting at a stop.
dataset/data/coco/val2014/COCO_val2014_000000407286.jpg,A woman and her three dogs in a car.
dataset/data/coco/val2014/COCO_val2014_000000230610.jpg,A small bathroom with a shower curtain with the NYC Subway map on it. 
dataset/data/coco/val2014/COCO_val2014_000000230610.jpg,A bathroom with a map as a shower curtain. 
dataset/data/coco/val2014/COCO_val2014_000000190236.jpg,Office setting with a lot of computer screens.
dataset/data/coco/val2014/COCO_val2014_000000016977.jpg,A couple of cars parked in a busy street sidewalk.
dataset/data/coco/val2014/COCO_val2014_000000106140.jpg,A passenger plane taking off into the sky. 
dataset/data/coco/val2014/COCO_val2014_000000006672.jpg,A kitchen door next to a kitchen sing and counter top.
dataset/data/coco/val2014/COCO_val2014_000000178761.jpg,A dog and a goat with their noses touching at fence.
dataset/data/coco/val2014/COCO_val2014_000000301837.jpg,A narrow kitchen ending with a chrome refrigerator.
dataset/data/coco/val2014/COCO_val2014_000000107990.jpg,A little boy sitting alone on a motorcycle.
dataset/data/coco/val2014/COCO_val2014_000000573223.jpg,A girl standing next to a toilet in a bathroom.
dataset/data/coco/val2014/COCO_val2014_000000491000.jpg,Pedestrians walking down a sidewalk next to a small street.
dataset/data/coco/val2014/COCO_val2014_000000368402.jpg,A chef carrying a large pan inside of a kitchen.
dataset/data/coco/val2014/COCO_val2014_000000419074.jpg,An airplane flying away in a cloudy sky.
dataset/data/coco/val2014/COCO_val2014_000000571635.jpg,A full bathroom with a wicker laundry basket.
dataset/data/coco/val2014/COCO_val2014_000000071988.jpg,Two people sitting on dock looking at the ocean.
dataset/data/coco/val2014/COCO_val2014_000000538092.jpg,A man standing in a kitchen while closing a cupboard door.
dataset/data/coco/val2014/COCO_val2014_000000548498.jpg,A small white cat on a large bowl.
dataset/data/coco/val2014/COCO_val2014_000000267802.jpg,People riding bikes and cars down the street. 
dataset/data/coco/val2014/COCO_val2014_000000226419.jpg,A silver color jet flying through the clear sky.
dataset/data/coco/val2014/COCO_val2014_000000505386.jpg,A row of urinals in with an open window above them.
dataset/data/coco/val2014/COCO_val2014_000000202913.jpg,The coconut cake on a red plate is half gone.
dataset/data/coco/val2014/COCO_val2014_000000560591.jpg,A toilet and trashcan in a white bathroom.
dataset/data/coco/val2014/COCO_val2014_000000571970.jpg,A man stands next to his bike at the marina.
dataset/data/coco/val2014/COCO_val2014_000000071988.jpg,Two older people sitting down in front of a beach.
dataset/data/coco/val2014/COCO_val2014_000000571970.jpg,an old man standing next to a bike and a chain fence.
dataset/data/coco/val2014/COCO_val2014_000000230610.jpg,A bathroom with pedestal sink and mirror over it.
dataset/data/coco/val2014/COCO_val2014_000000205577.jpg,A photograph of a kitchen inside a house.
dataset/data/coco/val2014/COCO_val2014_000000508672.jpg,a bike leaning on a metal fence next to some flowing water. 
dataset/data/coco/val2014/COCO_val2014_000000052087.jpg,A young person has his face close to the toilet bowl.
dataset/data/coco/val2014/COCO_val2014_000000419074.jpg,A plane that is flying in a clear blue sky.
dataset/data/coco/val2014/COCO_val2014_000000119964.jpg,A person holding a skate board sitting in an empty open field.
dataset/data/coco/val2014/COCO_val2014_000000352538.jpg,a brown purse abandoned on a green bench.
dataset/data/coco/val2014/COCO_val2014_000000507362.jpg,Empty fog covered streets in the night amongst traffic lights.
dataset/data/coco/val2014/COCO_val2014_000000334015.jpg,a small toilet stall with a toilet brush and 3 rolls of toilet paper 
dataset/data/coco/val2014/COCO_val2014_000000202913.jpg,A half eaten dessert cake sitting on a cake plate.
dataset/data/coco/val2014/COCO_val2014_000000027842.jpg,A dual sink vanity with mirrors above the sinks.
dataset/data/coco/val2014/COCO_val2014_000000109976.jpg,Close up of a white kitchen setup with a coffee maker on counter.
dataset/data/coco/val2014/COCO_val2014_000000052087.jpg,A man taking a drink from a water fountain.
dataset/data/coco/val2014/COCO_val2014_000000005247.jpg,The old man cross country skis through the forest.
dataset/data/coco/val2014/COCO_val2014_000000527510.jpg,A large propeller airplane sitting on a tarmac.
dataset/data/coco/val2014/COCO_val2014_000000459912.jpg,A lot of motorbikes line up down a busy street.
dataset/data/coco/val2014/COCO_val2014_000000153184.jpg,Three birds sit on the back of a giraffe. 
dataset/data/coco/val2014/COCO_val2014_000000190236.jpg,A desk and chair in an office cubicle.
dataset/data/coco/val2014/COCO_val2014_000000358606.jpg,A fireplace with a fire built in it.
dataset/data/coco/val2014/COCO_val2014_000000153184.jpg,A giraffe with 3 birds on his fur.
dataset/data/coco/val2014/COCO_val2014_000000071988.jpg,An old couple at the beach during the day.
dataset/data/coco/val2014/COCO_val2014_000000109976.jpg,A white stove and cabinet inside a kitchen.
dataset/data/coco/val2014/COCO_val2014_000000567730.jpg,The sign of a restaurant in the outside of the store.
dataset/data/coco/val2014/COCO_val2014_000000193622.jpg,A decorative man sits on the ground with a cow.
dataset/data/coco/val2014/COCO_val2014_000000567730.jpg,A sign on a building advertising an Italian restaurant.
dataset/data/coco/val2014/COCO_val2014_000000202658.jpg,A toilet with a Hello Kitty symbol on it.
dataset/data/coco/val2014/COCO_val2014_000000022793.jpg,A picture of a woman hangs on the wall above the urinals.
dataset/data/coco/val2014/COCO_val2014_000000133680.jpg,A man sits on a street bench by a bike. 
dataset/data/coco/val2014/COCO_val2014_000000139011.jpg,A crowd of people get ready to board a bus in the city.
dataset/data/coco/val2014/COCO_val2014_000000182417.jpg,There is a piece of cake on a plate with decorations on it.
dataset/data/coco/val2014/COCO_val2014_000000571970.jpg,A man holding some break standing by a bicycle.
dataset/data/coco/val2014/COCO_val2014_000000175948.jpg,Small bathroom with a toilet and a sink.
dataset/data/coco/val2014/COCO_val2014_000000505386.jpg,A row of urinals stand beneath a open window.
dataset/data/coco/val2014/COCO_val2014_000000560591.jpg,A white toilet sits on a tile floor.
dataset/data/coco/val2014/COCO_val2014_000000061259.jpg,an airport with one plane flying away and the other sitting on the runway
dataset/data/coco/val2014/COCO_val2014_000000554037.jpg,"a counter with vegetables, knife and cutting board on it. "
dataset/data/coco/val2014/COCO_val2014_000000005394.jpg,A boat that looks like a car moves through the water. 
dataset/data/coco/val2014/COCO_val2014_000000005394.jpg,A car modified to drive in the water on a lake.
dataset/data/coco/val2014/COCO_val2014_000000172330.jpg,A cat stands between two parked cars on a grassy sidewalk. 
dataset/data/coco/val2014/COCO_val2014_000000182417.jpg,Creamy cheesecake dessert with whip cream and caramel.
dataset/data/coco/val2014/COCO_val2014_000000455384.jpg,A delivery truck with an advertisement for Entourage.
dataset/data/coco/val2014/COCO_val2014_000000249352.jpg,A black and white toilet with a plunger.
dataset/data/coco/val2014/COCO_val2014_000000301837.jpg,"A narrow kitchen is decorated in shades of white, gray, and black."
dataset/data/coco/val2014/COCO_val2014_000000005247.jpg,A younger man and an older man skiing in the forest.
dataset/data/coco/val2014/COCO_val2014_000000314251.jpg,A group of motorcyclists drive down a tree lined street.
dataset/data/coco/val2014/COCO_val2014_000000348306.jpg,A bike leaning against a sign in Scotland.
dataset/data/coco/val2014/COCO_val2014_000000348306.jpg,A bike in front of a scenic welcome sign. 
dataset/data/coco/val2014/COCO_val2014_000000104326.jpg,A green kitchen with wooden counters and bright lights. 
dataset/data/coco/val2014/COCO_val2014_000000162113.jpg,"A kitchen with a stove, sink, and drying area. "
dataset/data/coco/val2014/COCO_val2014_000000548498.jpg,A small kitten is sitting in a bowl. 
dataset/data/coco/val2014/COCO_val2014_000000189634.jpg,An opened box of four chocolate bananas. 
dataset/data/coco/val2014/COCO_val2014_000000472598.jpg,An old green car parked on the side of the street.
dataset/data/coco/val2014/COCO_val2014_000000107990.jpg,A toddler sitting on a motorcycle in a parking lot.
dataset/data/coco/val2014/COCO_val2014_000000172330.jpg,A cat at attention between two parked cars.
dataset/data/coco/val2014/COCO_val2014_000000061259.jpg,jumbo jet sits on the tarmac while another takes off
dataset/data/coco/val2014/COCO_val2014_000000554037.jpg,"asparragus, lemons and a bowl of rice on a counter top"
dataset/data/coco/val2014/COCO_val2014_000000285421.jpg,A cat puts her head inside of a toilet. 
dataset/data/coco/val2014/COCO_val2014_000000455384.jpg,A large van features an ad for a television show.
dataset/data/coco/val2014/COCO_val2014_000000249352.jpg,"A toilet has a rug, and a plunger next to it."
dataset/data/coco/val2014/COCO_val2014_000000482917.jpg,"A dog sitting between its masters feet on a footstool watching tv
"
dataset/data/coco/val2014/COCO_val2014_000000057429.jpg,A large jet takes off from an airport runway.
dataset/data/coco/val2014/COCO_val2014_000000071988.jpg,"A person on a bench, and one on a wheelchair sitting by a seawall looking out toward the ocean"
dataset/data/coco/val2014/COCO_val2014_000000475593.jpg,Women father around a desk and machinery in a factory.
dataset/data/coco/val2014/COCO_val2014_000000407286.jpg,Three dogs on the lap of a woman in the driver's seat of a convertible.
dataset/data/coco/val2014/COCO_val2014_000000107960.jpg,"The view from a motorcyclist's point of view, looking down a street."
dataset/data/coco/val2014/COCO_val2014_000000005394.jpg,A car modified to be a boat on the water.
dataset/data/coco/val2014/COCO_val2014_000000223747.jpg,A young man and his cute cat enjoy a nap together.
dataset/data/coco/val2014/COCO_val2014_000000145523.jpg,A few items sit on top of a toilet in a bathroom stall.
dataset/data/coco/val2014/COCO_val2014_000000482917.jpg,A dog between the feet of a person looking at a TV.
dataset/data/coco/val2014/COCO_val2014_000000567730.jpg,A sign for an Italian restaurant hangs outside a building.
dataset/data/coco/val2014/COCO_val2014_000000107960.jpg,A man rides a motorcycle down an empty street next to houses.
dataset/data/coco/val2014/COCO_val2014_000000143370.jpg,A bathroom with a poster of an ugly face above the toilette.
dataset/data/coco/val2014/COCO_val2014_000000027842.jpg,"A long marble like bath room vanity with a stool, two sink basins with mirrors and lights over them"
dataset/data/coco/val2014/COCO_val2014_000000006672.jpg,A sink next to a large white door 
dataset/data/coco/val2014/COCO_val2014_000000279806.jpg,A dirt bike rider doing a stunt jump in the air
dataset/data/coco/val2014/COCO_val2014_000000491000.jpg,People walking on a city street with light traffic.
dataset/data/coco/val2014/COCO_val2014_000000334015.jpg,"A clean, European toilet with toilet paper and cleaning brush."
dataset/data/coco/val2014/COCO_val2014_000000135161.jpg,A bathroom with only a toilet and tub with the wall covered in plastic
dataset/data/coco/val2014/COCO_val2014_000000153184.jpg,A flock of birds sits on top of a large giraffe.
dataset/data/coco/val2014/COCO_val2014_000000059171.jpg,A couple of birds fly through a blue cloudy sky.
dataset/data/coco/val2014/COCO_val2014_000000346071.jpg,Two husky dogs ride in a car with their heads hanging out windows.
dataset/data/coco/val2014/COCO_val2014_000000369826.jpg,A picture advertising Arizona tourism in an airport
dataset/data/coco/val2014/COCO_val2014_000000402514.jpg,A man is playing a fiddle in his kitchen.
dataset/data/coco/val2014/COCO_val2014_000000093437.jpg,An older man is wearing a funny hat in his dining room.
dataset/data/coco/val2014/COCO_val2014_000000352538.jpg,A woman's purse sitting on a park bench.
dataset/data/coco/val2014/COCO_val2014_000000178761.jpg,A dog greets a sheep that is in a sheep pen.
dataset/data/coco/val2014/COCO_val2014_000000193622.jpg,A man sits next to his horse in an alley in costume.
dataset/data/coco/val2014/COCO_val2014_000000061259.jpg,A Virgin Australia airline on the tarmac. 
dataset/data/coco/val2014/COCO_val2014_000000554037.jpg,"The preparation of salmon, asparagus and lemons. "
dataset/data/coco/val2014/COCO_val2014_000000126657.jpg,A group of people are riding motorcycles on a road through a town. 
dataset/data/coco/val2014/COCO_val2014_000000534605.jpg,Man in motorcycle leathers standing in front of a group of bikes
dataset/data/coco/val2014/COCO_val2014_000000358606.jpg,A living room containing a modern fireplace and miscellaneous items 
dataset/data/coco/val2014/COCO_val2014_000000567730.jpg,Italian Reaffaello restaurant sign at front of building.
dataset/data/coco/val2014/COCO_val2014_000000119964.jpg,A child with a skateboard sitting on the grass and looking at an empty field
dataset/data/coco/val2014/COCO_val2014_000000285421.jpg,A cat is drinking water out of a toilet.
dataset/data/coco/val2014/COCO_val2014_000000560591.jpg,A toilet in a bathroom that is next to a trash can
dataset/data/coco/val2014/COCO_val2014_000000534605.jpg,"Bikers, dressed in their gear, standing near their motorcycles."
dataset/data/coco/val2014/COCO_val2014_000000107960.jpg,The view of the street from the perspective of the rider of a motorcycle
dataset/data/coco/val2014/COCO_val2014_000000079472.jpg,The computer desk in the corner is by a window.
dataset/data/coco/val2014/COCO_val2014_000000145523.jpg,A dirty toilet in a small bathroom.with items on top.
dataset/data/coco/val2014/COCO_val2014_000000267802.jpg,Motorists and bicyclists in a busy city square.
dataset/data/coco/val2014/COCO_val2014_000000223747.jpg,A man is sleeping with his head on a pillow.
dataset/data/coco/val2014/COCO_val2014_000000508672.jpg,A bicycle parked next to a flooded river
dataset/data/coco/val2014/COCO_val2014_000000104326.jpg,A bright room with green walls and cabinets.
dataset/data/coco/val2014/COCO_val2014_000000162113.jpg,This is a kitchen with dishes and a silver sink.
dataset/data/coco/val2014/COCO_val2014_000000012667.jpg,A banana replacing the phone on an answering machine
dataset/data/coco/val2014/COCO_val2014_000000410627.jpg,A man enjoys cooking food in a pan
dataset/data/coco/val2014/COCO_val2014_000000175948.jpg,A narrow bathroom has a white door on its side
dataset/data/coco/val2014/COCO_val2014_000000346071.jpg,Two happy dogs have their head out the car window.
dataset/data/coco/val2014/COCO_val2014_000000400552.jpg,A variety of pots are stored in a nook by a fireplace.
dataset/data/coco/val2014/COCO_val2014_000000315702.jpg,A bathroom vanity with cabinets and basin sink and several grooming products scattered across it
dataset/data/coco/val2014/COCO_val2014_000000218026.jpg,Two horses eating grass near a parking lot. 
dataset/data/coco/val2014/COCO_val2014_000000348306.jpg,a welcome to Scotland sign with a bicycle leaning on it
dataset/data/coco/val2014/COCO_val2014_000000189634.jpg,"An open box contains an unknown, purple object"
dataset/data/coco/val2014/COCO_val2014_000000472598.jpg,"An antique, turquoise car is parked at the curb"
dataset/data/coco/val2014/COCO_val2014_000000203564.jpg,"A bicycle figurine in which the front wheel is replaced with a clock
"
dataset/data/coco/val2014/COCO_val2014_000000179765.jpg,Ma motorcycle parked on the gravel in front of a garage
dataset/data/coco/val2014/COCO_val2014_000000193622.jpg,Guy and cow are sitting on the floor 
dataset/data/coco/val2014/COCO_val2014_000000238836.jpg,A car is stopped at a red light
dataset/data/coco/val2014/COCO_val2014_000000369826.jpg,A television that is sitting next to signs
dataset/data/coco/val2014/COCO_val2014_000000178761.jpg,Two animals get close through a fence. 
